TV Id,Regulation Start Date,TVS Id,Regulation Id,Protected Location Id,Protected Location (4),Elemental-Integrado,Protected Location Type,ERD-ARR,Regulation Reason Name
LEBLARR,1/1/2019,LEBLTMA,LEBLA01N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEBL12XN,1/1/2019,LEBLTMA,LE12XN01,LEBL12XN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,1/2/2019,LEBLTMA,LEBLA02,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEBL34DN,1/2/2019,LEBLTMA,LEBLD02,LEBL34DN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LEBL12XN,1/2/2019,LEBLTMA,LE12XN02,LEBL12XN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LECBCVN,1/2/2019,LECBFMPE,LECVN02M,LECBCVN,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLVU,1/2/2019,LECBFMPW,LELVU02M,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBPPI,1/2/2019,LECBFMPW,LEPPI02,LECBPPI,LECB,integrado,Airspace,ERD,C - ATC Capacity
FL2DGU,1/2/2019,LECMFMP,FL2DGU02,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,1/2/2019,LECMFMP,LEMDA02,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECGTMA,1/2/2019,LECMFMP,LECGT02,LECGTA,LECG,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,1/3/2019,LEBLTMA,LEBLA03N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEBL134W,1/3/2019,LEBLTMA,LE134W03,LEBL134W,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LEBL34DN,1/3/2019,LEBLTMA,LE34DN03,LEBL34DN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
L1234DXN,1/3/2019,LEBLTMA,L1234D03,LEBL1T4DXN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LECBVVI,1/3/2019,LECBFMPE,LEVVI03,LECBVVI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBVVI,1/3/2019,LECBFMPE,LEVVI03A,LECBVVI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLGU,1/3/2019,LECBFMPW,LELGU03,LECBLGU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,1/3/2019,LECMFMP,LEMDA03,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMZMUX,1/3/2019,LECMFMP,ZMUX03A,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
RR1BLI,1/3/2019,LECMFMP,RR1BLI03,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
FL5DGU,1/3/2019,LECMFMP,FL5DGU03,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,1/4/2019,LEBLTMA,LEBLA04,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECLTMN,1/4/2019,LECLTAC,LETMN04,LECLTMN,LECL,integrado,Airspace,ERD,C - ATC Capacity
